stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,zone_id,level_id,stop_timezone,platform_code,wheelchair_boarding,stop_code,stop_url,stop_desc
mxc_C13V2_STP_14,Santa Clemencia,20.682800,-103.299040,,,,,,,,,,
mxc_C13V2_STP_15,Calle San Pedro,20.684740,-103.298380,,,,,,,,,,
mxc_C13V2_STP_16,Julián Medina Castillo,20.686070,-103.297930,,,,,,,,,,
mxc_C13V2_STP_17,Avenida Circunvalación Oblatos,20.688880,-103.296980,,,,,,,,,,
mxc_C13V2_STP_20,Hacienda La Purísima,20.694740,-103.302690,,,,,,,,,,
mxc_C13V2_STP_21,Hacienda Atequiza,20.696610,-103.302220,,,,,,,,,,
mxc_C13V2_STP_23,San Alfredo,20.701350,-103.305410,,,,,,,,,,
mxc_C13V2_STP_24,Calle San Ignacio,20.705020,-103.308480,,,,,,,,,,
mxc_C13V2_STP_25,Calle San Ignacio,20.706430,-103.308180,,,,,,,,,,
mxc_C13V2_STP_26,Calle San Ignacio,20.704390,-103.308890,,,,,,,,,,
mxc_C13V2_STP_27,Calle San Ignacio,20.702590,-103.309540,,,,,,,,,,
mxc_C13V2_STP_28,Hacienda de Guadalupe,20.701820,-103.307470,,,,,,,,,,
mxc_C13V2_STP_29,Hacienda de Guadalupe,20.700950,-103.304730,,,,,,,,,,
mxc_C13V2_STP_30,Calle Juan de Dios Robledo,20.694990,-103.306260,,,,,,,,,,
mxc_C13V2_STP_31,Hacienda los Belenes,20.693130,-103.306770,,,,,,,,,,
mxc_C13V2_STP_37,Calle Francisco Sarabia,20.688200,-103.299490,,,,,,,,,,
mxc_C13V2_STP_41,Avenida José María Iglesias,20.679850,-103.292170,,,,,,,,,,
mxc_C13V2_STP_42,Avenida José María Iglesias,20.679270,-103.287860,,,,,,,,,,
mxc_C13V2_STP_44,Sucre,20.679480,-103.269900,,,,,,,,,,
mxc_C13V3_STP_12,Avenida Malecón,20.684900,-103.268540,,,,,,,,,,
mxc_C13V3_STP_14,Avenida Malecón,20.677240,-103.268500,,,,,,,,,,
mxc_C13V3_STP_15,Francisco Domínguez,20.675530,-103.268800,,,,,,,,,,
mxc_C13V3_STP_16,Calle Doctor Roberto Weeks López,20.673010,-103.269810,,,,,,,,,,
mxc_C13V3_STP_17,Rublo,20.671140,-103.270060,,,,,,,,,,
mxc_C13V3_STP_18,Avenida Malecón,20.666160,-103.270370,,,,,,,,,,
mxc_C13V3_STP_25,Avenida Malecón,20.662170,-103.270210,,,,,,,,,,
mxc_C13V3_STP_26,Avenida Malecón,20.666060,-103.270260,,,,,,,,,,
mxc_C13V3_STP_27,Avenida Malecón,20.669150,-103.269830,,,,,,,,,,
mxc_C13V3_STP_28,Rublo,20.671380,-103.269870,,,,,,,,,,
mxc_C13V3_STP_29,Calle Fabian Carrillo,20.673490,-103.269460,,,,,,,,,,
mxc_C13V3_STP_30,Francisco Domínguez,20.675430,-103.268680,,,,,,,,,,
mxc_C13V3_STP_31,Delio Moreno,20.677060,-103.268380,,,,,,,,,,
mxc_C14V1_STP_07,Calle Porfirio Díaz,20.476130,-103.447110,,,,,,,,,,
mxc_C14V1_STP_99,San Antonio,20.517470,-103.415230,,,,,,,,,,
mxc_C14V2_STP_104,Avenida 16 de Septiembre,20.661190,-103.350470,,,,,,,,,,
mxc_C14V2_STP_107,Avenida 8 de Julio,20.660270,-103.355280,,,,,,,,,,
mxc_C14V2_STP_109,Calle Halcón,20.657200,-103.357110,,,,,,,,,,
mxc_C14V2_STP_111,Calle Fresno,20.653180,-103.358830,,,,,,,,,,
mxc_C14V2_STP_112,Avenida 8 de Julio,20.652270,-103.359200,,,,,,,,,,
mxc_C14V2_STP_113,Avenida 8 de Julio,20.650790,-103.359840,,,,,,,,,,
