trip_id,start_time,end_time,headway_secs,exact_times
C01_route_1_0000001_16500,04:35:00,20:41:00,420,0
C01_route_2_0000001_21120,05:52:00,21:58:00,420,0
C01_trip_1,04:35:00,20:59:00,360,0
C01_trip_2,05:52:00,22:16:00,360,0
C02_route_1_0000001_15600,04:20:00,21:01:00,420,0
C02_route_2_0000001_20280,05:38:00,22:19:00,420,0
C02_trip_1,04:20:00,21:01:00,420,0
C02_trip_2,05:38:00,22:19:00,420,0
C03_route_1_0000001_15600,04:20:00,05:30:00,840,0
C03_route_1_0000001_15600,05:23:00,21:08:00,420,0
C03_route_1_1111110_18000,04:20:00,05:10:00,600,0
C03_route_1_1111110_18000,05:05:00,21:05:00,300,0
C03_route_2_0000001_23100,05:29:00,06:39:00,840,0
C03_route_2_0000001_23100,06:32:00,22:17:00,420,0
C03_route_2_1111110_22140,05:29:00,06:19:00,600,0
C03_route_2_1111110_22140,06:14:00,22:14:00,300,0
C04_route_1_0000001_16200,04:30:00,21:22:00,720,0
C04_route_2_0000001_19440,05:24:00,22:16:00,720,0
C04_trip_1,04:30:00,21:10:00,600,0
C04_trip_2,05:24:00,22:14:00,600,0
C05_route_1_0000001_17400,04:50:00,21:26:00,360,0
C05_route_2_0000001_20640,05:44:00,22:20:00,360,0
C05_trip_1,04:50:00,21:25:00,300,0
C05_trip_2,05:44:00,22:19:00,300,0
C06_route_1_0000001_17400,04:50:00,22:23:00,720,0
C06_route_2_0000001_22440,06:14:00,22:47:00,720,0
C06_route_2_1111110_81180,06:14:00,19:04:00,600,0
C06_route_2_1111110_81180,19:03:00,19:57:00,540,0
C06_route_2_1111110_81180,19:59:00,21:49:00,600,0
C06_route_2_1111110_81180,21:48:00,22:42:00,540,0
C06_trip_1,04:50:00,17:40:00,600,0
C06_trip_1,17:39:00,18:33:00,540,0
C06_trip_1,18:35:00,20:25:00,600,0
C06_trip_1,20:24:00,21:18:00,540,0
C07-V1_route_1_0000001_17100,04:45:00,20:35:00,600,0
C07-V1_route_2_0000001_21780,06:03:00,21:53:00,600,0
C07-V1_trip_1,04:45:00,20:29:00,480,0
C07-V1_trip_2,06:03:00,21:47:00,480,0
C07-V2_route_1_0000001_16800,04:40:00,20:16:00,720,0
C07-V2_route_2_0000001_21720,06:02:00,21:38:00,720,0
C07-V2_trip_1,04:30:00,20:10:00,600,0
C07-V2_trip_2,05:54:00,21:34:00,600,0
C08_route_1_0000011_23040,06:24:00,19:54:00,540,0
C08_route_2_0000011_19800,05:30:00,20:12:00,540,0
C08_trip_1,06:24:00,19:54:00,300,0
C08_trip_2,05:30:00,20:12:00,540,0
C09_route_1_0000001_16200,04:30:00,21:09:00,540,0
C09_route_2_0000001_19560,05:26:00,22:05:00,540,0
C09_trip_1,04:30:00,21:06:00,360,0
C09_trip_2,05:26:00,22:02:00,360,0
C100_route_1_0000001_18600,05:10:00,21:02:00,840,0
C100_route_2_0000001_23340,06:29:00,21:21:00,840,0
C100_trip_1,05:10:00,20:58:00,720,0
C100_trip_2,06:29:00,22:17:00,720,0
C101_route_1_0000001_16500,04:35:00,21:49:00,660,0
C101_route_2_0000001_16200,04:30:00,21:55:00,660,0
C101_trip_1,04:34:00,21:58:00,540,0
C101_trip_2,04:30:00,22:03:00,540,0
C102_route_1_0000001_16380,04:33:00,21:03:00,540,0
C102_route_2_0000001_16200,04:30:00,21:00:00,540,0
C102_trip_1,04:34:00,21:01:00,420,0
C102_trip_2,04:30:00,20:57:00,420,0
C103_route_1_0000001_15960,04:26:00,20:30:00,480,0
C103_route_2_0000001_16200,04:30:00,21:26:00,480,0
C103_trip_1,04:38:00,21:26:00,360,0
C103_trip_2,04:30:00,21:24:00,360,0
C104_route_1_0000001_20220,05:37:00,22:39:00,420,0
C104_route_2_0000001_20160,05:36:00,21:38:00,420,0
C104_trip_1,05:37:00,21:39:00,360,0
C104_trip_2,05:36:00,21:38:00,360,0
C105_route_1_0000001_18120,05:02:00,20:59:00,660,0
C105_route_2_0000001_18000,05:00:00,20:57:00,660,0
C105_trip_1,05:04:00,21:25:00,540,0
C105_trip_2,05:00:00,21:21:00,540,0
C106_route_1_0000001_18660,05:11:00,21:59:00,960,0
C106_route_2_0000001_18000,05:00:00,21:00:00,960,0
C106_trip_1,05:11:00,21:59:00,960,0
C106_trip_2,05:00:00,21:00:00,960,0
C107_route_1_0000001_18000,05:00:00,20:54:00,1080,0
C107_route_2_0000001_22860,06:21:00,22:15:00,1080,0
C107_trip_1,05:00:00,21:00:00,960,0
