trip_id,stop_id,stop_sequence,arrival_time,departure_time,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,timepoint
C02_route_1_0000001_15600,mxc_C02_STP_33,112,04:59:15,04:59:15,,,,,,
C02_route_1_0000001_15600,mxc_C02_STP_34,113,04:59:53,04:59:53,,,,,,
C02_route_1_0000001_15600,mxc_C02_STP_35,114,05:01:03,05:01:03,,,,,,
C02_route_1_0000001_15600,mxc_C02_STP_36,115,05:02:23,05:02:23,,,,,,
C02_route_1_0000001_15600,mxc_C02_STP_39,118,05:05:18,05:05:18,,,,,,
C02_route_1_0000001_15600,mxc_C02_STP_42,121,05:08:35,05:08:35,,,,,,
C02_route_1_0000001_15600,mxc_C02_STP_43,122,05:09:21,05:09:21,,,,,,
C02_route_1_0000001_15600,mxc_C02_STP_46,125,05:12:07,05:12:07,,,,,,
C02_route_1_0000001_15600,mxc_C02_STP_49,128,05:15:46,05:15:46,,,,,,
C02_route_1_0000001_15600,mxc_C02_STP_53,132,05:20:01,05:20:01,,,,,,
C02_route_1_0000001_15600,mxc_C06_STP_62,123,05:10:26,05:10:26,,,,,,
C02_route_1_0000001_15600,mxc_C06_STP_67,127,05:14:29,05:14:29,,,,,,
C02_route_1_0000001_15600,mxc_C07V1_STP_50,129,05:16:46,05:16:46,,,,,,
C02_route_1_0000001_15600,mxc_C07V1_STP_51,130,05:17:42,05:17:42,,,,,,
C02_route_1_0000001_15600,mxc_C122_STP_58,94,04:41:26,04:41:26,,,,,,
C02_route_1_0000001_15600,mxc_C13V1_STP_53,126,05:13:26,05:13:26,,,,,,
C02_route_1_0000001_15600,mxc_C17_STP_22,106,04:52:17,04:52:17,,,,,,
C02_route_1_0000001_15600,mxc_C17_STP_40,124,05:11:12,05:11:12,,,,,,
C02_route_1_0000001_15600,mxc_C19_STP_03,82,04:22:02,04:22:02,,,,,,
C02_route_1_0000001_15600,mxc_C22_STP_57,131,05:18:46,05:18:46,,,,,,
C02_route_1_0000001_15600,mxc_C29V1_STP_30,99,04:46:13,04:46:13,,,,,,
C02_route_1_0000001_15600,mxc_C36_STP_20,90,04:36:16,04:36:16,,,,,,
C02_route_1_0000001_15600,mxc_C38V1_STP_39,111,04:57:50,04:57:50,,,,,,
C02_route_1_0000001_15600,mxc_C38V1_STP_44,116,05:03:05,05:03:05,,,,,,
C02_route_1_0000001_15600,mxc_C38V1_STP_45,117,05:04:23,05:04:23,,,,,,
C02_route_1_0000001_15600,mxc_C38V1_STP_47,119,05:06:11,05:06:11,,,,,,
C02_route_1_0000001_15600,mxc_C38V1_STP_48,120,05:07:30,05:07:30,,,,,,
C02_route_1_0000001_15600,mxc_C38V1_STP_88,97,04:44:21,04:44:21,,,,,,
C02_route_1_0000001_15600,mxc_C66V2_STP_01,80,04:20:00,04:20:00,,,,,,
C02_route_1_0000001_15600,mxc_C66V2_STP_02,81,04:21:02,04:21:02,,,,,,
C02_route_2_0000001_20280,mxc_C02_STP_100,179,06:31:31,06:31:31,,,,,,
C02_route_2_0000001_20280,mxc_C02_STP_101,180,06:32:21,06:32:21,,,,,,
C02_route_2_0000001_20280,mxc_C02_STP_102,181,06:33:11,06:33:11,,,,,,
C02_route_2_0000001_20280,mxc_C02_STP_103,182,06:34:07,06:34:07,,,,,,
C02_route_2_0000001_20280,mxc_C02_STP_104,183,06:35:25,06:35:25,,,,,,
C02_route_2_0000001_20280,mxc_C02_STP_28,160,06:05:11,06:05:11,,,,,,
C02_route_2_0000001_20280,mxc_C02_STP_54,133,05:38:00,05:38:00,,,,,,
C02_route_2_0000001_20280,mxc_C02_STP_55,134,05:38:55,05:38:55,,,,,,
C02_route_2_0000001_20280,mxc_C02_STP_57,136,05:40:33,05:40:33,,,,,,
C02_route_2_0000001_20280,mxc_C02_STP_59,138,05:42:30,05:42:30,,,,,,
C02_route_2_0000001_20280,mxc_C02_STP_60,139,05:43:07,05:43:07,,,,,,
C02_route_2_0000001_20280,mxc_C02_STP_61,140,05:44:49,05:44:49,,,,,,
C02_route_2_0000001_20280,mxc_C02_STP_62,141,05:46:00,05:46:00,,,,,,
C02_route_2_0000001_20280,mxc_C02_STP_63,142,05:47:05,05:47:05,,,,,,
C02_route_2_0000001_20280,mxc_C02_STP_65,144,05:49:11,05:49:11,,,,,,
C02_route_2_0000001_20280,mxc_C02_STP_66,145,05:50:20,05:50:20,,,,,,
C02_route_2_0000001_20280,mxc_C02_STP_68,147,05:52:20,05:52:20,,,,,,
C02_route_2_0000001_20280,mxc_C02_STP_69,148,05:53:15,05:53:15,,,,,,
C02_route_2_0000001_20280,mxc_C02_STP_70,149,05:54:20,05:54:20,,,,,,
C02_route_2_0000001_20280,mxc_C02_STP_71,150,05:55:14,05:55:14,,,,,,
C02_route_2_0000001_20280,mxc_C02_STP_72,151,05:55:58,05:55:58,,,,,,
C02_route_2_0000001_20280,mxc_C02_STP_73,152,05:56:38,05:56:38,,,,,,
C02_route_2_0000001_20280,mxc_C02_STP_76,155,06:00:10,06:00:10,,,,,,
C02_route_2_0000001_20280,mxc_C02_STP_77,156,06:01:12,06:01:12,,,,,,
C02_route_2_0000001_20280,mxc_C02_STP_79,158,06:03:21,06:03:21,,,,,,
C02_route_2_0000001_20280,mxc_C02_STP_82,161,06:06:48,06:06:48,,,,,,
C02_route_2_0000001_20280,mxc_C02_STP_83,162,06:07:48,06:07:48,,,,,,
C02_route_2_0000001_20280,mxc_C02_STP_84,163,06:08:52,06:08:52,,,,,,
C02_route_2_0000001_20280,mxc_C02_STP_85,164,06:09:51,06:09:51,,,,,,
C02_route_2_0000001_20280,mxc_C02_STP_86,165,06:10:46,06:10:46,,,,,,
C02_route_2_0000001_20280,mxc_C02_STP_87,166,06:11:39,06:11:39,,,,,,
C02_route_2_0000001_20280,mxc_C02_STP_89,168,06:14:18,06:14:18,,,,,,
C02_route_2_0000001_20280,mxc_C02_STP_91,170,06:16:34,06:16:34,,,,,,
C02_route_2_0000001_20280,mxc_C02_STP_92,171,06:17:53,06:17:53,,,,,,
C02_route_2_0000001_20280,mxc_C02_STP_93,172,06:18:58,06:18:58,,,,,,
C02_route_2_0000001_20280,mxc_C02_STP_94,173,06:19:58,06:19:58,,,,,,
C02_route_2_0000001_20280,mxc_C02_STP_97,176,06:26:10,06:26:10,,,,,,
C02_route_2_0000001_20280,mxc_C02_STP_98,177,06:27:26,06:27:26,,,,,,
C02_route_2_0000001_20280,mxc_C02_STP_99,178,06:30:13,06:30:13,,,,,,
C02_route_2_0000001_20280,mxc_C05_STP_39,135,05:39:46,05:39:46,,,,,,
C02_route_2_0000001_20280,mxc_C108V1_STP_131,167,06:13:24,06:13:24,,,,,,
C02_route_2_0000001_20280,mxc_C124_STP_66,137,05:41:39,05:41:39,,,,,,
